,Symbol,Name,Industry,IndustryCode
5896,OIS,Oil States International Inc,오일 및 가스 장비 및 서비스,501030
5897,NCZ,Virtus Allianzgi Convertible & Income Fund II,다양한 금융서비스,555010
5898,RMM,RiverNorth Managed Duration Municipal Income Fund Inc,다양한 금융서비스,555010
5899,SOR,Source Capital Inc,다양한 금융서비스,555010
5900,CSTA,Constellation Acquisition Corp I Class A,기타 금융업,556010
5901,GSQD,G Squared Ascend I Inc Class A,기타 금융업,556010
5902,RPLA.U,Replay Acquisition Corp Unit,기타 금융업,556010
5903,DLR PR L,Digital Realty Trust Inc PRF,주택 및 상업용 리츠,601020
5904,BXC,Bluelinx Holdings Inc,주택건설,532030
5905,ALUS,Alussa Energy Acquisition Corp Class A,기타 금융업,556010
5906,DEH.U,D8 Holdings Corp Unit,기타 금융업,556010
5907,FOF,Cohen and Steers Closed End Opportunity Fund Inc,다양한 금융서비스,555010
5908,NRZ PR C,New Residential Investment Corp PRF,주택 및 상업용 리츠,601020
5909,FSNB.U,Fusion Acquisition Corp II,기타 금융업,556010
5910,PSA PR E,Public Storage ADR,주택 및 상업용 리츠,601020
5911,LPI,Laredo Petroleum Inc,오일 및 가스,501020
5912,ASG,Liberty All-Star Growth Fund Inc,다양한 금융서비스,555010
5913,CAP.U,Capitol Investment Corp V,기타 금융업,556010
5914,PEO,Adams Natural Resources Fund Inc,다양한 금융서비스,555010
5915,AGAC.U,African Gold Acquisition Corp,기타 금융업,556010
5916,FRC PR J,First Republic Bank ADR,은행,551010
5917,PCPC,Periphas Capital Partnering Corp Class A,기타 금융업,556010
5918,CBAH,CBRE Acquisition Holdings Inc Class A,기타 금융업,556010
5919,JGH,Nuveen Global High Income Fund,다양한 금융서비스,555010
5920,YAC.U,Yucaipa Acquisition Corp,기타 금융업,556010
5921,NSTB.U,Northern Star Investment Corp II,기타 금융업,556010
5922,OOMA,Ooma Inc,통신 서비스,574010
5923,TEI,Templeton Emerging Markets Income Fund,다양한 금융서비스,555010
5924,AMOV,America Movil SAB de CV ADR,통신 서비스,574010
5925,RLJ PR A,RLJ Lodging Trust PRF,주택 및 상업용 리츠,601020
5926,CLII,Climate Change Crisis Real Impact I Acquisition Corp Class A,기타 금융업,556010
5927,BLE,BlackRock Municipal Income Trust II,다양한 금융서비스,555010
5928,SPLP,Steel Partners Holdings LP Unit,메탈&마이닝,512010
5929,NNN PR F,National Retail Properties Inc ADR,주택 및 상업용 리츠,601020
5930,ACII.U,Atlas Crest Investment Corp II,기타 금융업,556010
5931,KKR PR A,KKR & Co Inc PRF,투자은행 및 서비스,551020
5932,FAII.U,Fortress Value Acquisition Corp II,기타 금융업,556010
5933,ATMR.U,Altimar Acquisition Corp II,기타 금융업,556010
5934,SAN PR B,Banco Santander SA PRF,은행,551010
5935,FRXB.U,Forest Road Acquisition Corp II,기타 금융업,556010
5936,VGII.U,Virgin Group Acquisition II Corp,기타 금융업,556010
5937,MYJ,BlackRock MuniYield New Jersey Fund Inc,다양한 금융서비스,555010
5938,TINV,Tiga Acquisition Corp,기타 금융업,556010
5939,CND,Concord Acquisition Corp Class A,기타 금융업,556010
5940,RPLA,Replay Acquisition Corp,기타 금융업,556010
5941,TWND.U,Tailwind Acquisition Corp,기타 금융업,556010
5942,UZA,United States Cellular Corp PRF,통신 서비스,574010
5943,MEN,BlackRock MuniEnhanced Fund Inc,다양한 금융서비스,555010
5944,NXU,Novus Capital Corporation II Class A,기타 금융업,556010
5945,DMYQ.U,Dmy Technology Group Inc IV,기타 금융업,556010
5946,CLNY PR I,Colony Capital Inc PRF,주택 및 상업용 리츠,601020
5947,TWNT.U,Tailwind Two Acquisition Corp,기타 금융업,556010
5948,HYI,Western Asset High Yield Defined Opportunity Fund Inc,다양한 금융서비스,555010
5949,ONE,OneSmart International Education Group Ltd ADR,교육서비스,631010
5950,GFX.U,Golden Falcon Acquisition Corp,기타 금융업,556010
5951,SPGS.U,Simon Property Group Acquisition Holdings Inc,기타 금융업,556010
5952,ROSS.U,Ross Acquisition II Corp,기타 금융업,556010
5953,PDAC.U,Peridot Acquisition Corp,기타 금융업,556010
5954,CCAC,CITIC Capital Acquisition Corp Class A,기타 금융업,556010
5955,TK,Teekay Corp,오일 및 가스 장비 및 서비스,501030
5956,MACC.U,Mission Advancement Corp,기타 금융업,556010
5957,ARDC,Ares Dynamic Credit Allocation Fund Inc,다양한 금융서비스,555010
5958,GSQD.U,G Squared Ascend I Inc,기타 금융업,556010
5959,SLAC.U,Social Leverage Acquisition I Corp,기타 금융업,556010
5960,EOT,Eaton Vance National Municipal Opportunities Trust,다양한 금융서비스,555010
5961,TWNI.U,Tailwind International Acquisition Corp,기타 금융업,556010
5962,PSB PR Z,PS Business Parks Inc ADR,주택 및 상업용 리츠,601020
5963,SWBK,Switchback II Corp Class A,기타 금융업,556010
5964,GPM,Guggenheim Enhanced Equity Income Fund,다양한 금융서비스,555010
5965,LEJU,Leju Holdings Ltd ADR,부동산 운영 관리,601010
5966,SNII.U,Supernova Partners Acquisition Company II Ltd,기타 금융업,556010
5967,DMYI.U,dMY Technology Group III Inc,기타 금융업,556010
5968,ATAC,Altimar Acquisition Corp Class A,기타 금융업,556010
5969,MTL,Mechel PAO ADR,메탈&마이닝,512010
5970,PSA PR I,Public Storage ADR,주택 및 상업용 리츠,601020
5971,CTAC,Cerberus Telecom Acquisition Corp Class A,기타 금융업,556010
5972,CPSR,Capstar Special Purpose Acquisition Corp Class A,기타 금융업,556010
5973,PCQ,PIMCO California Municipal Income Fund,다양한 금융서비스,555010
5974,FIV,First Trust Senior Floating Rate 2022 Target Term Fund,다양한 금융서비스,555010
5975,SQZ,SQZ Biotechnologies Co,생명과학 및 메디컬 리서치,562020
5976,FRX.U,Forest Road Acquisition Corp,기타 금융업,556010
5977,STIC,Northern Star Acquisition Corp Class A,기타 금융업,556010
5978,ROT,Rotor Acquisition Corp Class A,기타 금융업,556010
5979,CFG PR D,Citizens Financial Group Inc ADR,은행,551010
5980,TGS,Transportadora de Gas del Sur SA ADR,오일 및 가스,501020
5981,EPWR,Empowerment & Inclusion Capital I Corp Class A,기타 금융업,556010
5982,PSF,Cohen & Steers Select Preferred and Income Fund Inc,다양한 금융서비스,555010
5983,HTPA,Highland Transcend Partners I Corp Class A,기타 금융업,556010
5984,CLAA.U,Colonnade Acquisition II Corp,기타 금융업,556010
5985,PSA PR D,Public Storage ADR,주택 및 상업용 리츠,601020
5986,TLYS,Tillys Inc Class A,전문품 상점,534030
5987,IACA,Ion Acquisition Corp 1 Ltd Class A,기타 금융업,556010
5988,FPI,Farmland Partners Inc,주택 및 상업용 리츠,601020
5989,FCT,First Trust Senior Floating Rate Income Fund II,다양한 금융서비스,555010
5990,CLII.U,Climate Change Crisis Real Impact I Acquisition Corp,기타 금융업,556010
5991,SWBK.U,Switchback II Corp,기타 금융업,556010
5992,CRU,Crucible Acquisition Corp Class A,기타 금융업,556010
5993,VOYA PR B,Voya Financial Inc ADR,투자은행 및 서비스,551020
5994,CRD.A,Crawford & Co Class A,보험,553010
5995,NL,NL Industries Inc,"건설장비 및 대형차, 기차, 배",521020
5996,AEL PR B,American Equity Investment Life Holding Co ADR,보험,553010
5997,CEPU,Central Puerto SA ADR,전기 유틸리티,591010
5998,CEM,Clearbridge MLP and Midstream Fund Inc,다양한 금융서비스,555010
5999,PIAI.U,Prime Impact Acquisition I,기타 금융업,556010
6000,SCE PR J,SCE Trust IV PRF,은행,551010
6001,NMY,Nuveen Maryland Quality Municipal Income Fund,다양한 금융서비스,555010
6002,TYG,Tortoise Energy Infrastructure Corp,다양한 금융서비스,555010
6003,VNO PR M,Vornado Realty Trust PRF,주택 및 상업용 리츠,601020
6004,NOA,North American Construction Group Ltd,오일 및 가스 장비 및 서비스,501030
6005,MIXT,MIX Telematics Ltd ADR,소프트웨어 및 IT서비스,572010
6006,NEW,Puxin Ltd ADR,교육서비스,631010
6007,FRC PR I,First Republic Bank ADR,은행,551010
6008,NS PR B,NuStar Energy LP PRF,오일 및 가스 장비 및 서비스,501030
6009,PUK PR A,Prudential PLC PRF,보험,553010
6010,ALUS.U,Alussa Energy Acquisition Corp Unit,기타 금융업,556010
6011,KIO,KKR Income Opportunities Fund,다양한 금융서비스,555010
6012,MVT,BlackRock MuniVest Fund II Inc,다양한 금융서비스,555010
6013,APO PR B,Apollo Global Management Inc PRF,투자은행 및 서비스,551020
6014,CEIX,CONSOL Energy Inc,석유,501010
6015,AONE,one Class A,기타 금융업,556010
6016,BAC PR E,Bank of America Corp ADR,은행,551010
6017,HRTG,Heritage Insurance Holdings Inc,보험,553010
6018,BGH,Barings Global Short Duration High Yield Fund,다양한 금융서비스,555010
6019,RCS,PIMCO Strategic Income Fund  Inc,다양한 금융서비스,555010
6020,ARES PR A,Ares Management Corp PRF,투자은행 및 서비스,551020
6021,ACV,Virtus AllianzGI Diversified Income & Convertible Fund,다양한 금융서비스,555010
6022,ANAC.U,Arctos Northstar Acquisition Corp,기타 금융업,556010
6023,CIM PR B,Chimera Investment Corp PRF,주택 및 상업용 리츠,601020
6024,FEI,First Trust MLP and Energy Income Fund,다양한 금융서비스,555010
6025,ALL PR I,Allstate Corp ADR,보험,553010
6026,PSA PR H,Public Storage ADR,주택 및 상업용 리츠,601020
6027,ATTO,Atento SA,전문 및 상업 서비스,522030
6028,CLNY PR J,Colony Capital Inc PRF,주택 및 상업용 리츠,601020
6029,MG,Mistras Group Inc,오일 및 가스,501020
6030,SRT,Startek Inc,전문 및 상업 서비스,522030
6031,PSA PR G,Public Storage ADR,주택 및 상업용 리츠,601020
6032,SOAC.U,Sustainable Opportunities Acquisition Corp Unit,기타 금융업,556010
6033,MYC,BlackRock Muniyield California Fund Inc,다양한 금융서비스,555010
6034,TTI,Tetra Technologies Inc,오일 및 가스 장비 및 서비스,501030
6035,LOKB,Live Oak Acquisition Corp II Class A,기타 금융업,556010
6036,EVC,Entravision Communications Corp Class A,미디어 및 출판,533020
6037,IIF,Morgan Stanley India Investment Fund Inc,다양한 금융서비스,555010
6038,LITB,LightInTheBox Holding Co Ltd ADR,다양한 소매업,534020
6039,EMPW,Empower Ltd Class A,기타 금융업,556010
6040,HPX,HPX Corp Class A,기타 금융업,556010
6041,OACB,Oaktree Acquisition II Corp Class A,기타 금융업,556010
6042,FST,FAST Acquisition Corp Class A,기타 금융업,556010
6043,MQT,BlackRock MuniYield Quality Fund II Inc,다양한 금융서비스,555010
6044,CSTA.U,Constellation Acquisition Corp I,기타 금융업,556010
6045,GHL,Greenhill & Co Inc,투자은행 및 서비스,551020
6046,BKN,BlackRock Investment Quality Municipal Trust Inc,다양한 금융서비스,555010
6047,HTPA.U,Highland Transcend Partners I Corp,기타 금융업,556010
6048,CTO,CTO Realty Growth Inc,부동산 운영 관리,601010
6049,GF,New Germany Fund Inc,다양한 금융서비스,555010
6050,FGNA,FG New America Acquisition Corp Class A,기타 금융업,556010
6051,KMF,Kayne Anderson Nextgen Energy & Infrastructure Inc,다양한 금융서비스,555010
6052,BSN.U,Broadstone Acquisition Corp,기타 금융업,556010
6053,BLUA,Blueriver Acquisition Corp Class A,기타 금융업,556010
6054,LND,Brasilagro Companhia Brasileira de Propriedades Agricolas ADR,식품 및 담배,541020
6055,VPV,Invesco Pennsylvania Value Municipal Income Trust,다양한 금융서비스,555010
6056,ASAQ,Atlantic Avenue Acquisition Corp Class A,기타 금융업,556010
6057,EMF,Templeton Emerging Markets Fund Inc,다양한 금융서비스,555010
6058,CMCM,Cheetah Mobile Inc ADR,소프트웨어 및 IT서비스,572010
6059,TDJ,Telephone and Data Systems Inc PRF,통신 서비스,574010
6060,BRT,BRT Apartments Corp,주택 및 상업용 리츠,601020
6061,DTJ,DTE Energy Co PRF,전기 유틸리티,591010
6062,VNO PR K,Vornado Realty Trust PRF,주택 및 상업용 리츠,601020
6063,XPOA.U,DPCM Capital Inc,기타 금융업,556010
6064,DNZ,D and Z Media Acquisition Corp Class A,기타 금융업,556010
6065,SCE PR K,SCE Trust V PRF,다양한 금융서비스,555010
6066,SJIV,South Jersey Industries Inc,천연가스 유틸리티,591020
6067,VNO PR L,Vornado Realty Trust PRF,주택 및 상업용 리츠,601020
6068,VNO PR N,Vornado Realty Trust PRF,주택 및 상업용 리츠,601020
6069,TINV.U,Tiga Acquisition Corp,기타 금융업,556010
6070,RICE,Rice Acquisition Corp Class A,기타 금융업,556010
6071,CHAA.U,Catcha Investment Corp,기타 금융업,556010
6072,IVAN,Ivanhoe Capital Acquisition Corp Class A,기타 금융업,556010
6073,CIA,Citizens Inc Class A,보험,553010
6074,MDH,MDH Acquisition Corp Class A,기타 금융업,556010
6075,FACT.U,Freedom Acquisition I Corp,기타 금융업,556010
6076,ESM.U,ESM Acquisition Corp,기타 금융업,556010
6077,EQH PR C,Equitable Holdings Inc ADR,투자은행 및 서비스,551020
6078,MUE,BlackRock MuniHoldings Quality Fund II Inc,다양한 금융서비스,555010
6079,ASPL,Aspirational Consumer Lifestyle Corp Class A,기타 금융업,556010
6080,PRE PR H,PartnerRe Ltd PRF,보험,553010
6081,HCHC,HC2 Holdings Inc,복합 기업,544010
6082,TISI,Team Inc,전문 및 상업 서비스,522030
6083,DBL,Doubleline Opportunistic Credit Fund,다양한 금융서비스,555010
6084,GPX,GP Strategies Corp,비즈니스교육,631030
6085,RTPZ,Reinvent Technology Partners Z LLC Class A,기타 금융업,556010
6086,CHN,China Fund Inc,다양한 금융서비스,555010
6087,BTE,Baytex Energy Corp,오일 및 가스,501020
6088,CSPR,Casper Sleep Inc,가정용품,532040
6089,CCAC.U,CITIC Capital Acquisition Corp Unit,기타 금융업,556010
6090,VIAO,VIA Optronics AG ADR,반도체 및 반도체 장비,571010
6091,TWO PR B,Two Harbors Investment Corp PRF,주택 및 상업용 리츠,601020
6092,PSA PR F,Public Storage ADR,주택 및 상업용 리츠,601020
6093,BTU,Peabody Energy Corp,석유,501010
6094,STIC.U,Northern Star Acquisition Corp,기타 금융업,556010
6095,DTY,DTE Energy Co PRF,전기 유틸리티,591010
6096,MEC,Mayville Engineering Company Inc,자동차 및 자동차 부품,531010
6097,TWO PR C,Two Harbors Investment Corp PRF,주택 및 상업용 리츠,601020
6098,PCK,PIMCO California Municipal Income Fund II,다양한 금융서비스,555010
6099,AHL PR C,Aspen Insurance Holdings Ltd PRF,보험,553010
6100,IVAN.U,Ivanhoe Capital Acquisition Corp,기타 금융업,556010
6101,NSH,NavSight Holdings  Inc. Class A,기타 금융업,556010
6102,NXP,Nuveen Select Tax-Free Income Portfolio,다양한 금융서비스,555010
6103,NXU.U,Novus Capital Corporation II,기타 금융업,556010
6104,FACA.U,Figure Acquisition Corp I,기타 금융업,556010
6105,AMPI.U,Advanced Merger Partners Inc,기타 금융업,556010
6106,PDS,Precision Drilling Corp,오일 및 가스 장비 및 서비스,501030
6107,NPV,Nuveen Virginia Quality Municipal Income Fund,다양한 금융서비스,555010
6108,HUGS.U,USHG Acquisition Corp,기타 금융업,556010
6109,CLNY PR H,Colony Capital Inc PRF,주택 및 상업용 리츠,601020
6110,FLME.U,Flame Acquisition Corp,기타 금융업,556010
6111,CND.U,Concord Acquisition Corp,기타 금융업,556010
6112,SBG,Sandbridge Acquisition Corp Class A,기타 금융업,556010
6113,APO PR A,Apollo Global Management Inc PRF,투자은행 및 서비스,551020
6114,SCVX,SCVX Corp Class A,기타 금융업,556010
6115,AHT,Ashford Hospitality Trust Inc,주택 및 상업용 리츠,601020
6116,RRD,RR Donnelley & Sons Co,전문 및 상업 서비스,522030
6117,DNZ.U,D and Z Media Acquisition Corp,기타 금융업,556010
6118,FVT,Fortress Value Acquisition III Corp Class A,기타 금융업,556010
6119,NCA,Nuveen California Municipal Value Fund Inc,다양한 금융서비스,555010
6120,NUO,Nuveen Ohio Quality Municipal Income Fund,다양한 금융서비스,555010
6121,NXQ,Nuveen Select Tax-Free Income Portfolio 2,다양한 금융서비스,555010
6122,KIM PR M,Kimco Realty Corp ADR,주택 및 상업용 리츠,601020
6123,MAV,Pioneer Municipal High Income Advantage Trust,다양한 금융서비스,555010
6124,AGS,PlayAGS Inc,호텔 및 엔터테인먼트,533010
6125,ATAC.U,Altimar Acquisition Corp,기타 금융업,556010
6126,MCI,Barings Corporate Investors,다양한 금융서비스,555010
6127,BGT,BlackRock Floating Rate Income Trust,다양한 금융서비스,555010
6128,NMM,Navios Maritime Partners LP Unit,화물 및 물류 서비스,524050
6129,SAR,Saratoga Investment Corp,투자은행 및 서비스,551020
6130,PSA PR N,Public Storage ADR,주택 및 상업용 리츠,601020
6131,PHD,Pioneer Floating Rate Trust,다양한 금융서비스,555010
6132,MHI,Pioneer Municipal High Income Trust,다양한 금융서비스,555010
6133,NR,Newpark Resources Inc,오일 및 가스 장비 및 서비스,501030
6134,DSX,Diana Shipping Inc,화물 및 물류 서비스,524050
6135,SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,다양한 금융서비스,555010
6136,IVC,Invacare Corp,헬스케어 장비 및 용품,561010
6137,DS,Drive Shack Inc,호텔 및 엔터테인먼트,533010
6138,BVH,Bluegreen Vacations Holding Corp Class A,호텔 및 엔터테인먼트,533010
6139,FST.U,FAST Acquisition Corp,기타 금융업,556010
6140,SCE PR H,SCE Trust III PRF,은행,551010
6141,NRZ PR B,New Residential Investment Corp PRF,주택 및 상업용 리츠,601020
6142,CPSR.U,Capstar Special Purpose Acquisition Corp Unit,기타 금융업,556010
6143,MFM,MFS Municipal Income Trust,다양한 금융서비스,555010
6144,IVR PR C,Invesco Mortgage Capital Inc PRF,주택 및 상업용 리츠,601020
6145,TVC,Tennessee Valley Authority PRF,전기 유틸리티,591010
6146,RNR PR E,Renaissancere Holdings Ltd PRF,보험,553010
6147,HZN,Horizon Global Corp,자동차 및 자동차 부품,531010
6148,PICC.U,Pivotal Investment III Corp,기타 금융업,556010
6149,AONE.U,one,기타 금융업,556010
6150,ROT.U,Rotor Acquisition Corp,기타 금융업,556010
6151,WARR.U,Warrior Technologies Acquisition Co,기타 금융업,556010
6152,TVE,Tennessee Valley Authority PRF,전기 유틸리티,591010
6153,PIPP,Pine Island Acquisition Corp Class A,기타 금융업,556010
6154,JRS,Nuveen Real Estate Income Fund,다양한 금융서비스,555010
6155,MGU,Macquarie Global Infrastructure Total Return Fund Inc,다양한 금융서비스,555010
6156,IACA.U,Ion Acquisition Corp 1 Ltd,기타 금융업,556010
6157,CTAC.U,Cerberus Telecom Acquisition Corp,기타 금융업,556010
6158,CPTK.U,Crown PropTech Acquisitions,기타 금융업,556010
6159,BH,Biglari Holdings Inc Class B,호텔 및 엔터테인먼트,533010
6160,EPWR.U,Empowerment & Inclusion Capital I Corp,기타 금융업,556010
6161,EQHA,EQ Health Acquisition Corp Class A,기타 금융업,556010
6162,ADEX.U,Adit EdTech Acquisition Cor,기타 금융업,556010
6163,MDH.U,MDH Acquisition Corp,기타 금융업,556010
6164,PUK PR,Prudential PLC PRF,보험,553010
6165,SR PR A,Spire Inc ADR,천연가스 유틸리티,591020
6166,CLAS,Class Acceleration Corp Class A,기타 금융업,556010
6167,AMH PR D,American Homes 4 Rent PRF,주택 및 상업용 리츠,601020
6168,PHT,Pioneer High Income Trust,다양한 금융서비스,555010
6169,RNR PR F,Renaissancere Holdings Ltd ADR,보험,553010
6170,CINR,Ciner Resources LP Unit,화학,511010
6171,RICE.U,Rice Acquisition Corp,기타 금융업,556010
6172,CRU.U,Crucible Acquisition Corp,기타 금융업,556010
6173,TSI,TCW Strategic Income Fund Inc,다양한 금융서비스,555010
6174,BORR,Borr Drilling Ltd,오일 및 가스 장비 및 서비스,501030
6175,CNF,CNFinance Holdings Ltd ADR,은행,551010
6176,BGR,Blackrock Energy and Resources Trust,다양한 금융서비스,555010
6177,JOF,Japan Smaller Capitalization Fund Inc,다양한 금융서비스,555010
6178,PKE,Park Aerospace Corp,우주항공 및 국방,521010
6179,FINS,Angel Oak Financial Strategies Income Term Trust,다양한 금융서비스,555010
6180,CATO,Cato Corp Class A,전문품 상점,534030
6181,GIK.U,Gigcapital3 Inc Unit,기타 금융업,556010
6182,ALP PR Q,Alabama Power Co PRF,전기 유틸리티,591010
6183,GDO,Western Asset Global Corporate Defined Opportunity Fund Inc,다양한 금융서비스,555010
6184,EMP,Entergy Mississippi LLC PRF,전기 유틸리티,591010
6185,OCA.U,Omnichannel Acquisition Corp,기타 금융업,556010
6186,AHL PR D,Aspen Insurance Holdings Ltd PRF,보험,553010
6187,NGL,NGL Energy Partners LP Unit,오일 및 가스,501020
6188,LOKB.U,Live Oak Acquisition Corp II,기타 금융업,556010
6189,AHL PR E,Aspen Insurance Holdings Ltd ADR,보험,553010
6190,FGNA.U,FG New America Acquisition Corp,기타 금융업,556010
6191,CLIM,Climate Real Impact Solutions II Acquisition Corp Class A,기타 금융업,556010
6192,IPVA.U,InterPrivate II Acquisition Corp,기타 금융업,556010
6193,BML PR H,Bank of America Corp ADR,은행,551010
6194,EXPR,Express Inc,전문품 상점,534030
6195,AL PR A,Air Lease Corp PRF,전문 및 상업 서비스,522030
6196,CLAS.U,Class Acceleration Corp,기타 금융업,556010
6197,HPX.U,HPX Corp Unit,기타 금융업,556010
6198,DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc,다양한 금융서비스,555010
6199,IACB.U,Ion Acquisition Corp 2 Ltd,기타 금융업,556010
6200,BLUA.U,Blueriver Acquisition Corp,기타 금융업,556010
